 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
73395 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
73396 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
73560 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
73561 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
73562 00:00:00.000 R 09fd0202 31 e9 02 c5 3a fa ff ff
73575 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
73575 00:00:00.000 R 09f80200 c0 fc 0f 7e 00 00 ff ff
73587 00:00:00.000 R 09f80200 c1 fd 21 7e 00 00 ff ff
73588 00:00:00.000 R 09f11200 c1 ff ff ff 7f aa ff fc
73589 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
73774 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
73775 00:00:00.000 R 09fd0202 33 d1 02 05 3b fa ff ff
73778 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
73778 00:00:00.000 R 15fd0600 c2 cf 71 ff ff ff ff ff
73790 00:00:00.000 R 15fd0700 c2 00 cf 71 ff 7f ff ff
73790 00:00:00.000 R 09f80200 c2 fc 0f 7e 00 00 ff ff
73971 00:00:00.000 R 09fd0202 35 bb 02 36 3a fa ff ff
73975 00:00:00.000 R 09f11200 c5 ff ff ff 7f aa ff fc
73975 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
73976 00:00:00.000 R 09fd0202 36 b0 02 6a 3a fa ff ff
73988 00:00:00.000 R 09f80200 c5 fc 0f 7e 00 00 ff ff
73989 00:00:00.000 R 09f80200 c6 fd 21 7e 00 00 ff ff
73991 00:00:00.000 R 09f11200 c6 ff ff ff 7f aa ff fc
74001 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
74073 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
74176 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
74178 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
74178 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
74189 00:00:00.000 R 09f11200 c7 ff ff ff 7f aa ff fc
74190 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
74190 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
74201 00:00:00.000 R 15fd0800 c7 00 00 cf 71 ff ff ff
74202 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
74417 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
74418 00:00:00.000 R 19fa0300 c8 ff 82 00 ff 7f ff 7f
74419 00:00:00.000 R 0df80900 ac 4d a0 99 d6 17 ff 7f
74429 00:00:00.000 R 09f11200 c8 ff ff ff 7f aa ff fc
74430 00:00:00.000 R 0df90300 c8 f0 ff ff ff 7f ff ff
74440 00:00:00.000 R 0df50b00 c8 71 01 00 00 00 00 ff
74600 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
74601 00:00:00.000 R 1df01120 60 ea 72 ff ff ff ff ff
74612 00:00:00.000 R 1df01121 60 ea 72 ff ff ff ff ff
74612 00:00:00.000 R 09f11200 c9 ff ff ff 7f f0 ff fc
74622 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
74623 00:00:00.000 R 09fd0202 3a 8a 02 6b 3c fa ff ff
74789 00:00:00.000 R 09f80200 cc fc 0f 7e 00 00 ff ff
74792 00:00:00.000 R 15fd0c23 ff 00 00 14 72 04 ff ff
74793 00:00:00.000 R 09f80200 cd fd 21 7e 00 00 ff ff
74794 00:00:00.000 R 09f11200 cd ff ff ff 7f f0 ff fc
74805 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
74805 00:00:00.000 R 09fd0202 3e 68 02 7a 37 fa ff ff
74818 00:00:00.000 R 09f11200 ce ff ff ff 7f f0 ff fc
74818 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
74992 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
74993 00:00:00.000 R 09f80200 cf fd 21 7e ff ff ff ff
74996 00:00:00.000 R 09fd0202 40 5b 02 6a 37 fa ff ff
74998 00:00:00.000 R 09f11200 d0 ff ff ff 7f f0 ff fc
75009 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
75010 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
75021 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
75022 00:00:00.000 R 09fd0202 41 56 02 12 38 fa ff ff
75199 00:00:00.000 R 09f11200 d1 ff ff ff 7f f0 ff fc
75200 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
75200 00:00:00.000 R 0df50b23 ff 6f 01 00 00 00 00 ff
75212 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
75213 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
75223 00:00:00.000 R 15fd0723 ff c0 ce 71 ff 7f ff ff
75224 00:00:00.000 R 09fd0202 42 50 02 11 36 fa ff ff
75226 00:00:00.000 R 0df80500 d1 ff ff a0 99 d6 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff e0 e2 65 ff ff ff ff ff 20 fc 09 82 00 ff 7f ff ff ff 7f ff
75417 00:00:00.000 R 09f11200 d3 ff ff ff 7f f0 ff fc
75418 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
75418 00:00:00.000 R 09fd0202 44 46 02 2d 33 fa ff ff
75432 00:00:00.000 R 09f11200 d4 ff ff ff 7f f0 ff fc
